study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
6.8,51,87,7,6.0,0,82.06
7.1,84,45,9,5.1,0,72.84
5.5,51,75,6,7.9,1,72.8
6.3,50,88,5,7.8,1,78.03
2.9,98,61,4,5.4,0,65.79
4.1,66,91,3,7.9,0,79.68
4.4,85,58,8,7.3,0,70.96
3.1,68,45,6,8.5,1,62.03
6.7,73,50,8,6.4,1,78.12
7.2,54,78,5,7.1,0,73.58
4.4,90,84,6,7.7,0,80.74
1.3,70,65,7,5.3,1,61.08
5.5,91,69,5,6.1,0,79.75
5.9,97,77,9,8.6,1,92.97
10.0,58,72,10,5.4,0,91.41
2.4,60,90,9,7.4,1,77.92
10.0,83,56,3,7.7,0,83.22
5.8,67,89,8,5.4,1,81.08
1.0,96,86,7,8.9,0,80.53
2.0,90,59,6,5.6,0,65.94
8.0,83,40,8,7.0,0,81.54
8.9,69,55,3,6.0,0,68.11
5.4,54,88,5,5.5,1,80.02
2.5,83,95,9,8.9,0,89.23
4.6,92,81,8,6.8,1,83.26
3.0,71,41,6,7.4,0,55.41
6.7,64,44,3,8.4,0,65.39
3.5,81,53,5,7.9,1,66.33
5.3,76,52,4,5.4,1,65.09
4.7,96,43,4,5.2,1,69.61
2.0,62,52,10,5.6,0,59.89
3.2,54,68,4,5.2,0,63.79
9.3,65,50,9,6.9,0,84.5
9.1,60,64,3,8.9,1,84.27
8.1,68,67,10,5.6,1,83.28
1.5,97,74,3,8.0,0,65.9
5.3,83,50,3,8.8,0,72.71
1.6,54,83,6,6.6,0,66.24
1.4,55,66,8,8.7,0,67.1
3.8,66,65,5,7.7,1,69.37
9.4,54,40,10,7.5,0,72.98
2.9,66,48,8,8.5,0,64.0
2.4,84,85,7,7.4,0,80.03
6.0,92,46,5,6.1,0,73.17
2.4,68,78,6,7.9,0,73.02
8.7,82,71,7,8.6,0,86.42
4.8,67,42,3,6.3,0,58.77
3.4,97,68,9,7.2,0,76.6
